geno,slope_1,y_inter,vpd_bp,slope_2,leaf_area,yor
Wards_Prolific,60.7,-45,2.06,1.5,352.1,1890
Federation,42.7,-28.6,2.14,0.4,791.1,1901
Nabawa,45.1,-29.90,2.23,0.8,313.4,1915
Kingswhite,41.6,-18.4,2.35,-0.9,379.7,1920
Dundee,64.1,-35.6,2.06,-3.3,295.2,1927
Bencubbin,36.9,-17.8,2.11,4.6,454.6,1929
Gluyas_Early,36.7,-20.7,2.19,0.4,324.3,1933
Bungulla,43.4,-27.5,2.06,5.9,342.9,1939
Gabo,62.1,-32.2,2.04,-3.2,145.2,1942
Koda,45.2,-21.2,1.96,2.8,376.3,1955
Gamenya,51.9,-23.9,2.06,8.7,116.4,1958
Heron,32.6,-15.4,2.09,0.5,862.9,1958
Halberd,49.2,-15.7,1.99,14.8,574.2,1969
Kite,76.6,-40.3,2.14,12.9,182,1973
Warigal,44.7,-19.7,1.96,8.8,708.1,1978
Spear,74.9,-35.8,1.96,22.6,126.4,1983
Machete,41.9,-20.5,2.02,19.3,293.6,1985
Janz,69.2,-40.3,1.96,12.5,292.1,1989
Trident,53.3,-28.2,1.96,19.5,535,1993
Frame,52.1,-26.1,1.96,19.3,465,1997
Yitpi,39.9,-15.1,2.09,14.5,432.4,2000
Ega_Castle_Rock,83.8,-48.8,1.96,23.3,157.4,2004
Mace,39.2,-18.5,1.86,17.3,557,2008
